filepath,description,sha256
runtime-gate/00_RUNTIME_GATE_STATUS.md,Runtime Gate Overall Status,2923C707E262F277D5FC613D0D0527494120D120474956FD2175BA70436E2A37
runtime-gate/01_POSTGRESQL_MIGRATION_EVIDENCE.md,PostgreSQL Migration Evidence (RT-GATE-01 PASS),64DE9E63C5D1D62010E4FB8AFAE8BFE5123670AFCB82B7D2FC5DDD6FBB6DD6EF
runtime-gate/02_ROLE_RUNTIME_MATRIX.md,Role Runtime Permission Matrix (RT-GATE-01 PASS),E15944AB4961D965CE3E0B21A4981E86EB2894862400EEC678742D77FB722187
runtime-gate/03_BSC_TESTNET_READBACK_PLAN.md,BSC Testnet Readback Plan (RT-GATE-02),D44067F0146550EA20F6B12B33B4EA4019E330D8757DC4F604C693A65BAE4E01
runtime-gate/04_BSC_TESTNET_READBACK_EVIDENCE.md,BSC Testnet Readback Evidence (RT-GATE-02),0DFC4C73F34222CE0D966CF755C06ACA93F60306956904CBD4F4CDE3F657359A
runtime-gate/05_GO_BUILD_STAGE_DECISION.md,Go Build Stage Decision (RT-GATE-03),9E76003C185A4716D56213EF9043408EB0D838C2B5204BFC86C2B4FB18023E31
runtime-gate/PAYLOAD_MANIFEST.csv,Payload Manifest,0E217739260C95F7724EDCDE90DE90EAF71023833813226313ADABBBFC760A10
runtime-gate/rt01_objects_evidence.txt,Schema Object Validation Output,3747F72E53578B5DD6EE8C2E264F1A76E20B624373AD35138FBD9A3A5D6C7312
runtime-gate/rt01_permission_evidence.txt,Permission Boundary Test Output,BEA595F7FA29C0431393F6405895B2D3820B1FEF7128AF464C55E593CB8CEFE4
runtime-gate/rt01_permission_tests.sql,Permission Test Script (reproducible),9AC9F2A7ABF4657B13A15AA296C94834112095E1BB0F69B6419686B0862C5D59
runtime-gate/rt01_setup_env.sql,Environment Bootstrap Script (reproducible),DBA98796AC79807F13F438A94FA39AB4919949F77B1337DF3E2BC5ACEFB8A24A
runtime-gate/rt01_validate_objects.sql,Object Validation Script,9C2A5002444F6F26254F9A244F0D4A219B2AC58841C3AF6558E64293F1BD5FF2
PACKAGE_SHA256,0ac393be1bc945ddb3d4158df6bd3fd67e3225907ad8a1b23910d78af3ba9c3f,
